Name
Joseph Wyeth
Alexander Skene of Newtyle
James Logan
Dorcas Erbery
Lilias Skene
William Mucklow
Thomas Salthouse
William Dewsbury
John Audland
Richard Claridge
William Bradford
Fettiplace Bellers
John Bellers
Isabel Yeamans
George Fox the younger
George Fox
John Stubbs
Anne Camm
John Camm
Thomas Camm
Katharine Evans
Lydia Lancaster
Samuel Clarridge
Thomas Lower
Gervase Benson
Stephen Crisp
James Claypoole
Thomas Holme
John Freame
John Swinton
William Mead
Henry Pickworth
John Crook
Gilbert Latey
Ellis Hookes
Joseph Besse
James Nayler
Elizabeth Hooten
George Whitehead
John Whitehead
William Crouch
Benjamin Furly
Silvanus Bevan
Robert Rich
John Whiting
Christopher Taylor
Thomas Lawson
Richard Farnworth
William Coddington
Thomas Taylor
Richard Vickris
Robert Barclay
Jane Sowle
Tace Sowle
Leonard Fell
Margaret Fell
George Bishop
Elizabeth Leavens
Thomas Curtis
Alice Curwen
Alexander Parker
John Wilkinson
Thomas Aldam
David Barclay of Ury
David Barclay
Sir Charles Wager
George Keith
James Parnel
Peter Collinson
Franciscus Mercurius van Helmont
William Caton
Francis Howgill
Richard Hubberthorne
William Ames
William Rogers
Isaac Norris
Anthony Sharp
Mary Fisher
Anne Conway Viscountess Conway and Killultagh
Samuel Fisher
Francis Bugg
Sarah Gibbons
William Tomlinson
Humphrey Norton
William Gibson
Gideon Wanton
John Wanton
Grace Chamber
Mary Prince
John Bartram
Edward Haistwell
John ap John
John Rous
Anthony Pearson
Solomon Eccles
John Burnyeat
Edward Burrough
Rebecca Travers
William Edmundson
Sarah Cheevers
Edward Pyott
Daniel Quare
John Penington
Mary Penington
Charles Marshall
Humphrey Woolrich
William Penn
Mary Pennyman
Dorothy Waugh
David Lloyd
Lewis Morris
Martha Simmonds
John Story
Thomas Story
Thomas Ellwood
William Simpson
Samuel Bownas
John Perrot
Hannah Stranger
